pugnō, pugnāre ^ todo ^ to fight ^ 1st conj. ^ instransitive
mīlitō, mīlitāre ^ todo ^ to serve as a soldier ^ 1st conj. ^ intransitive
expugnō, expugnāre ^ todo ^ to conquer ^ 1st conj. ^ transitive
oppugnō, oppugnāre ^ todo ^ to attack ^ 1st conj. ^ transitive
incolō, incolere ^ todo ^ to inhabit ^ 3rd conj.
dīvidō, dīvidere ^ todo ^ to divide ^ 3rd conj.
metuō, metuere ^ todo ^ to fear ^ 3rd conj.
dēfendō, dēfendere ^ todo ^ to defend ^ 3rd conj. ^ transitive
jaciō, jacere ^ todo ^ to throw ^ 3rd conj. ^ transitive
fugiō, fugere ^ todo ^ to run away, flee ^ 3rd conj. ^ instransitive
ferō, ferre ^ todo ^ to carry, bring, bear ^ irr. ^ transitive

